lemma	docs	occurrences
фонарный	458.0	620.0
сеньор	265.0	980.0
злополучный	1358.0	2118.0
знаменосец	182.0	249.0
овация	1087.0	1685.0
лимфа	88.0	257.0
порождать	2468.0	4583.0
манекен	479.0	717.0
сызмальства	205.0	267.0
буза	123.0	263.0
земледельческий	821.0	1916.0
потребительский	1453.0	2856.0
благостно	163.0	192.0
наполнение	821.0	1228.0
неинтересно	1397.0	2068.0
сопровождать	5896.0	13709.0
шлейф	684.0	1031.0
страдание	5806.0	19533.0
солдатня	100.0	235.0
каковой	2337.0	4378.0
местечко	2823.0	6382.0
навигация	846.0	1477.0
рафинированный	296.0	417.0
наговаривать	352.0	505.0
безусловно	6116.0	10914.0
кило	528.0	1084.0
страна	31324.0	154065.0
создатель	3543.0	5595.0
глянуть	2723.0	9458.0
искусствоведение	149.0	215.0
подкрутить	159.0	182.0
пискнуть	561.0	804.0
удерживать	4220.0	8060.0
дискуссия	3132.0	6397.0
молекулярный	1079.0	2885.0
резать	4751.0	9920.0
прелестно	514.0	751.0
пассивный	1984.0	3716.0
прилежный	1532.0	2690.0
фильтровать	289.0	432.0
тонюсенький	134.0	153.0
звездный	2717.0	5917.0
наймит	168.0	240.0
слабохарактерный	147.0	167.0
плато	457.0	1475.0
невежа	382.0	528.0
проворчать	1112.0	2561.0
буфер	488.0	870.0
торфяной	319.0	612.0
сбегать	4214.0	10708.0
хрустнуть	740.0	1048.0
плазма	535.0	1505.0
фельдшер	1139.0	3633.0
сатин	188.0	542.0
спутник	4586.0	14078.0
освещение	3789.0	7002.0
фразеология	265.0	461.0
отвар	428.0	754.0
сода	519.0	963.0
облепить	1140.0	1618.0
свирепо	850.0	1242.0
отречение	1085.0	2473.0
забронировать	272.0	341.0
пеня	743.0	1269.0
популярно	522.0	587.0
мелочной	6.0	7.0
эксплуатировать	1285.0	1885.0
жаркий	6405.0	18112.0
разумный	5984.0	14062.0
тупиковый	449.0	569.0
выпендриваться	162.0	202.0
улучшать	1428.0	1758.0
дельце	1117.0	1980.0
ржаветь	403.0	477.0
отдельный	19444.0	62087.0
переспать	365.0	571.0
по-солдатски	285.0	364.0
бактериологический	231.0	379.0
предугадать	749.0	880.0
пароходство	542.0	1033.0
снисходить	548.0	693.0
торф	553.0	1122.0
закупить	1297.0	1672.0
гонор	291.0	403.0
покойник	2794.0	7427.0
упорно	4413.0	8377.0
запятки	229.0	356.0
превеликий	637.0	1322.0
разворот	773.0	1256.0
нарадоваться	347.0	398.0
козлиный	483.0	703.0
недлинный	211.0	254.0
родственница	1392.0	2485.0
упиваться	934.0	1317.0
заморозок	759.0	1087.0
хмыкнуть	834.0	2203.0
вывешивать	361.0	405.0
наложить	3692.0	5927.0
обрезание	262.0	518.0
бедненький	527.0	742.0
эфемерный	476.0	580.0
чистилище	332.0	515.0
выхватить	2257.0	4014.0
столетие	6138.0	14301.0
воздействовать	1655.0	2493.0
неписаный	431.0	542.0
изготовление	3901.0	6787.0
чекист	826.0	2706.0
театрально	10.0	11.0
трусливый	1685.0	2701.0
покричать	418.0	527.0
здоровье	10909.0	32052.0
житель	11499.0	36116.0
материализоваться	324.0	403.0
современный	19314.0	58632.0
штурвал	467.0	948.0
бот	550.0	1336.0
побродить	771.0	1050.0
подкрадываться	654.0	882.0
сжевать	177.0	205.0
надгробный	757.0	1076.0
затуманиться	377.0	447.0
сочетать	1657.0	2157.0
излечить	568.0	699.0
преобразиться	1103.0	1423.0
образующая	20.0	28.0
пресса	5156.0	11168.0
плеваться	672.0	940.0
шайка	2317.0	4935.0
горчица	513.0	941.0
погореть	468.0	702.0
отбиться	1057.0	1498.0
Христос	5764.0	35083.0
подгореть	186.0	222.0
междометие	355.0	497.0
всерьез	3785.0	6896.0
генетика	763.0	1943.0
эпилептик	168.0	473.0
значиться	2310.0	3659.0
давление	6390.0	17592.0
благодать	2295.0	6697.0
подмигнуть	1615.0	3683.0
улететь	2394.0	4736.0
кормление	720.0	1507.0
сервер	365.0	953.0
разночинец	410.0	781.0
замочный	566.0	810.0
заломить	762.0	1043.0
разрозненный	1477.0	2025.0
царствование	1592.0	5460.0
разбираться	4030.0	7387.0
запутать	2239.0	3389.0
предусмотрительный	1002.0	1399.0
попустительство	375.0	463.0
сломаться	1559.0	2305.0
катюша	513.0	1696.0
прослоек	534.0	800.0
рельс	2514.0	5429.0
кабанчик	72.0	149.0
симптоматика	80.0	181.0
нестерпимо	1393.0	2247.0
стожар	45.0	134.0
постепенный	10917.0	29551.0
бородатый	1756.0	3831.0
умиленно	325.0	418.0
закруглить	413.0	559.0
обрушиться	2657.0	4409.0
капюшон	664.0	1242.0
чернова	729.0	1585.0
мысок	211.0	360.0
перегреться	122.0	140.0
сутулый	887.0	1538.0
куратор	452.0	685.0
перепоясать	160.0	204.0
отделение	9645.0	27513.0
